"OutphaseC4_021 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Outphase\runs\OutphaseC4_021.tcf]","Time (h)","V 2 [OutphaseC4_021]","V 3 [OutphaseC4_021]","V 4 [OutphaseC4_021]","V 5 [OutphaseC4_021]","V 6 [OutphaseC4_021]","V 7 [OutphaseC4_021]","V 8 [OutphaseC4_021]","V 9 [OutphaseC4_021]","V 10 [OutphaseC4_021]","V 11 [OutphaseC4_021]","V 12 [OutphaseC4_021]","V 13 [OutphaseC4_021]","V 14 [OutphaseC4_021]","V 15 [OutphaseC4_021]","V 16 [OutphaseC4_021]","V  1 [OutphaseC4_021]"
          93,        0.766667,          2.0763,          2.4100,          2.5770,          2.0531,          2.0322,          2.7741,          0.7938,          1.1869,          2.0954,          2.4781,          0.5337,          1.3835,          2.1347,          3.2073,          5.3321,          1.0921
          94,        0.775000,          2.0764,          2.4101,          2.5770,          2.0529,          2.0322,          2.7741,          0.7940,          1.1865,          2.0954,          2.4781,          0.5342,          1.3829,          2.1347,          3.2073,          5.3320,          1.0922
          95,        0.783333,          2.0764,          2.4101,          2.5771,          2.0528,          2.0322,          2.7741,          0.7941,          1.1861,          2.0954,          2.4780,          0.5345,          1.3823,          2.1347,          3.2073,          5.3320,          1.0922
          96,        0.791667,          2.0763,          2.4101,          2.5771,          2.0527,          2.0323,          2.7741,          0.7943,          1.1858,          2.0955,          2.4779,          0.5349,          1.3817,          2.1347,          3.2073,          5.3321,          1.0921
          97,        0.800000,          2.0763,          2.4101,          2.5771,          2.0527,          2.0323,          2.7743,          0.7944,          1.1854,          2.0955,          2.4778,          0.5354,          1.3813,          2.1347,          3.2073,          5.3321,          1.0921
          98,        0.808333,          2.0763,          2.4101,          2.5771,          2.0525,          2.0322,          2.7742,          0.7946,          1.1851,          2.0955,          2.4778,          0.5357,          1.3807,          2.1347,          3.2073,          5.3321,          1.0922
          99,        0.816667,          2.0763,          2.4100,          2.5772,          2.0524,          2.0323,          2.7742,          0.7947,          1.1848,          2.0955,          2.4777,          0.5361,          1.3803,          2.1347,          3.2073,          5.3321,          1.0921
         100,        0.825000,          2.0763,          2.4099,          2.5771,          2.0524,          2.0323,          2.7741,          0.7949,          1.1845,          2.0955,          2.4777,          0.5365,          1.3798,          2.1347,          3.2073,          5.3320,          1.0921
         101,        0.833333,          2.0763,          2.4100,          2.5772,          2.0523,          2.0323,          2.7741,          0.7950,          1.1841,          2.0956,          2.4776,          0.5369,          1.3792,          2.1347,          3.2074,          5.3321,          1.0921
         102,        0.841667,          2.0763,          2.4101,          2.5772,          2.0522,          2.0323,          2.7741,          0.7952,          1.1838,          2.0956,          2.4775,          0.5373,          1.3789,          2.1347,          3.2073,          5.3321,          1.0922
         103,        0.850000,          2.0763,          2.4101,          2.5772,          2.0521,          2.0323,          2.7742,          0.7953,          1.1835,          2.0956,          2.4775,          0.5376,          1.3783,          2.1347,          3.2074,          5.3321,          1.0921
         104,        0.858333,          2.0763,          2.4101,          2.5773,          2.0521,          2.0323,          2.7741,          0.7955,          1.1833,          2.0956,          2.4774,          0.5379,          1.3779,          2.1348,          3.2074,          5.3321,          1.0922
         105,        0.866667,          2.0763,          2.4100,          2.5773,          2.0520,          2.0323,          2.7741,          0.7955,          1.1830,          2.0956,          2.4774,          0.5383,          1.3775,          2.1347,          3.2073,          5.3320,          1.0921
         106,        0.875000,          2.0763,          2.4099,          2.5773,          2.0519,          2.0324,          2.7741,          0.7957,          1.1827,          2.0956,          2.4773,          0.5387,          1.3769,          2.1347,          3.2073,          5.3320,          1.0922
         107,        0.883333,          2.0764,          2.4100,          2.5773,          2.0518,          2.0323,          2.7741,          0.7958,          1.1825,          2.0957,          2.4773,          0.5390,          1.3765,          2.1347,          3.2074,          5.3320,          1.0921
